state,name,hs_grad_2016,homeownership_2010,age_under_5_2017,age_over_65_2017,female_2010,black_2017,white_not_hispanic_2017,per_capita_income_2017,median_household_income_2017,density_2010,poverty_2017,unemployment_rate_2016,median_age_2019
Idaho,Bannock County,91.9,71.2,7.5,13,50.1,0.32,84.53,24042.86,47390,74.5,17.6,3.56,33.8
Idaho,Bear Lake County,93.5,80.9,7.4,20,50.4,0.4,93.66,24463.92,50603,6.1,14.5,4.53,39.6
Idaho,Benewah County,86.6,74.2,5.8,21.8,49,0.12,84.72,21863.28,43472,12,15.8,5.89,46.2
Idaho,Bingham County,85.9,79.9,8.1,13.2,49.8,0.16,74.01,20204.95,51307,21.8,13.1,3.51,33.6
Idaho,Blaine County,90.1,68.3,5.5,16.5,49.1,0.15,76.5,30530.47,58835,8.1,14.8,3.14,43.2
Idaho,Boise County,93.8,76.8,3,23.3,47.8,0.1,91.76,29354.35,49964,3.7,11.3,5.3,54
Idaho,Bonner County,90.4,74.5,4.7,22,49.6,0.1,93.55,25656.36,45607,23.6,14,5.39,47.9
Idaho,Bonneville County,91.1,74.1,8.7,12.4,50.1,0.25,83.61,25749.12,54150,55.9,11.9,3.17,32.9
Idaho,Boundary County,89.4,82.5,6,20.6,49.4,0.11,90.91,23973.6,39512,8.6,18.3,5.24,43.5
Idaho,Butte County,90.4,82.9,4,20,48.6,1.24,94.6,25502.45,43207,1.3,16.2,4.11,45.2
Idaho,Camas County,87.8,72.6,7.4,20.8,47.9,0,90.41,27328.03,36667,1,22.3,3.65,44.5
Idaho,Canyon County,84.2,71.4,7.9,12.8,50.5,0.23,70.93,19439.12,46426,321.6,17.1,4.34,33.6
Idaho,Caribou County,92.2,79.2,7.3,17.1,49.6,0,93.52,25934.46,58750,3.9,9.4,3.56,36.9
Idaho,Cassia County,81.9,68.6,8.6,13.2,49.4,0.05,70.39,19861.69,48162,8.9,14.7,2.96,32.9
Idaho,Clark County,69.5,77.5,10.8,10.7,44.7,0.09,51.37,13548.64,31927,0.6,24.2,3.31,33.2
Idaho,Clearwater County,87.8,78.2,3.6,25.7,45.9,0.11,90.98,26579.7,41122,3.6,13.9,7.29,50.4
Idaho,Custer County,92.6,80.1,3.3,29.4,46.9,0.01,92.2,22971.56,37976,0.9,18.9,5.1,53
Idaho,Elmore County,86.3,67.5,8,12.4,48.3,1.47,73.35,23291.34,45154,8.8,14.9,4.13,32.3
Idaho,Franklin County,89.9,80.9,8.5,13.4,49.3,0.13,91.32,20349.84,51583,19.3,12.2,3.05,32.8
Idaho,Fremont County,87.4,81.6,6.5,16.3,47.4,0.11,85.11,22381.14,51806,7.1,11.9,3.34,37.6
Idaho,Gem County,87.3,79.4,5.4,20.8,50.5,0,88.04,19479.31,42888,29.8,20.7,4.68,44.6
Idaho,Gooding County,76.4,72.7,6.8,16.7,48.3,0.05,68.14,20323.62,42626,21.2,15.9,3.04,38.7
Idaho,Idaho County,88.5,75.8,4.9,25.2,47.8,0.11,91.33,20219.17,40299,1.9,13.5,5.66,50.2
Idaho,Jefferson County,87.5,81.9,9.1,10.7,49.8,0.03,87.07,21330.96,58055,23.9,9.5,3.08,31.5
Idaho,Jerome County,75,64.6,9,12.5,48.9,0.05,63.11,19360.34,46421,37.5,16.3,3.08,32.7
Idaho,Kootenai County,92.4,70.7,6,17.4,50.7,0.22,91.01,28134.13,53189,111.3,12.6,4.65,40.2
Idaho,Latah County,95.9,54,5.6,12,48.5,0.36,89.42,25744.54,43310,34.6,22.5,3.16,28.7
Idaho,Lemhi County,91.5,72.8,4.4,27.6,49,0.1,93.33,23141.18,36031,1.7,17.1,6.14,52.1
Idaho,Lewis County,89.4,72.6,5.5,24,49.9,0.05,85.62,22919.83,40313,8,15.3,6.29,48.6
Idaho,Lincoln County,78.4,75.4,7.3,12.6,48.3,0,67.28,17347.85,46383,4.3,11.5,4.44,35.1
Idaho,Madison County,96.2,52,10,6.3,51.6,0.32,88.99,14218.64,33620,80,31.8,2.41,23.5
Idaho,Minidoka County,78,76.7,7.9,15.6,49.4,0.13,63.06,21490.25,48021,26.5,17.9,3.18,35.2
Idaho,Nez Perce County,91.6,67.6,6.1,19.1,50.4,0.19,87.24,26638.91,51804,46.3,14.4,3.27,40.8
Idaho,Oneida County,93.5,81.2,6.4,18.9,48.9,0.04,93.72,21077.32,43491,3.6,12.6,3.6,38.6
Idaho,Owyhee County,75,67.8,6.7,16.9,48.9,0.07,68.17,20034.7,36092,1.5,23.3,4.55,38.9
Idaho,Payette County,87,74.5,6.5,16.9,50.5,0.2,78.81,23391.7,48447,55.6,15.5,4.62,40.4
Idaho,Power County,79.3,73.2,8.2,15,48.5,0.13,62.5,21021.4,47602,5.6,11.6,4.08,38.3
Idaho,Shoshone County,85.7,71.4,5.9,21.9,49.7,0.14,91.81,24165.9,39835,4.9,17.4,7.07,47.3
Idaho,Teton County,91.2,59.7,7.6,9.4,47.7,0.09,81.12,24798.25,55986,22.6,8.3,3.22,37.2
Idaho,Twin Falls County,86.8,67.9,7.6,14.8,50.6,0.33,80.21,22679.18,49118,40.2,14.4,3.32,34.7
Idaho,Valley County,95.6,77.7,4.3,24.6,48.2,0.04,94.71,25540.93,54015,2.7,10.4,5.42,50.6
Idaho,Washington County,83.8,75.3,4.6,23.7,50.8,0.02,78.67,20495.97,37521,7,15.7,5.51,45.4
Illinois,Adams County,91.6,73.8,6.1,19.1,51.3,2.01,92.04,27024.37,48454,78.5,13.1,4.71,41.5
Illinois,Alexander County,75,71.4,7.2,19.9,49.2,17.29,61.84,16404.07,31014,35,33.4,9.23,45.3
Illinois,Bond County,88,81.2,4.5,17,47.7,3.03,87.83,26432.93,54393,46.7,15.7,5.07,41.6
Illinois,Boone County,86.1,82.6,5.8,14.3,50,1.14,74,28497.19,62701,193,10.6,6.29,38.5
Illinois,Brown County,85.9,74.6,4.1,13.7,35.9,10.77,73.61,29863.52,56289,22.7,11.6,3.33,38.9
Illinois,Bureau County,90.7,75.2,5.3,20.5,51.1,0.39,88.41,28240.83,54271,40.2,12.6,5.98,44.4
Illinois,Calhoun County,91.7,78.6,5.1,22.6,50.3,0.15,96.69,24428.74,53641,20,12.8,6.12,46.8
Illinois,Carroll County,90.8,76.3,5,23.8,49.9,0.67,93.4,28095,50555,34.6,11.3,5.59,48.3
Illinois,Cass County,85.6,71.4,6.4,16.4,49.9,2.31,76.2,25558.13,50156,36.3,13.1,5.49,40
Illinois,Champaign County,94.7,55.9,5.6,11.6,50.1,6.54,68.34,29619.49,49586,201.8,21.4,5.05,30.1
Illinois,Christian County,88,75,5.1,18.7,49.3,0.83,95.21,27252.42,50668,49.1,12.8,6.29,43.4
Illinois,Clark County,89.8,77.1,5.9,18.7,51.3,0.16,96.67,28890.04,52068,32.6,14.3,5.76,42.3
Illinois,Clay County,88.4,76.4,5.7,19.6,50.9,0.34,96.38,26076.29,47427,29.5,14,6.76,42.6
Illinois,Clinton County,89.4,80,5.5,15.8,48.3,1.79,91.58,31642.57,64543,79.7,9,4.42,40.6
Illinois,Coles County,90.2,62.5,4.6,15.5,51.8,1.9,90.96,26958.01,41907,106,21,5.83,35.7
Illinois,Cook County,85.9,60.4,6.3,13.5,51.6,11.86,42.68,33031.18,59426,5495.1,15.9,6.08,36.8
Illinois,Crawford County,89.1,80.4,5.1,18.3,48.1,2.12,91.01,29053.33,47468,44.7,11.9,6.17,41.8
Illinois,Cumberland County,88.9,79.7,5.9,18.5,50.1,0.05,96.72,24182.87,50680,31.9,14.3,5.14,42.5
Illinois,DeKalb County,92.6,62.7,5.9,11.5,50,3.72,77.64,26803.01,58343,166.6,18.1,5.3,31.1
Illinois,De Witt County,91.8,76,5.6,18.1,50.5,0.23,89.08,28051.9,55411,41.7,13.3,5.66,43.6
Illinois,Douglas County,84,78.3,6.7,16.8,50.7,0.16,90.51,25796.91,52261,48,12.1,4.69,37.8
Illinois,DuPage County,92.4,76.1,5.9,14,51,2.34,67.86,41840.37,84442,2799.8,6.8,4.74,39.3
Illinois,Edgar County,87.7,76,5.2,20.5,51.5,0.28,97.16,26342.67,47873,29.8,15.4,5.93,45.2
Illinois,Edwards County,89,77.3,6.1,19.9,50.6,0.24,96.73,26685.34,49632,30.2,11.5,5.77,43.5
Illinois,Effingham County,91.2,79,6.7,16.5,50.3,0.28,96.02,28904.8,54655,71.5,11.3,4.68,39.4
Illinois,Fayette County,82.5,79.5,5.4,17.7,47.4,2.58,91.79,22091.63,44541,30.9,17.8,6.53,41.9
Illinois,Ford County,88.9,79.1,5.4,18.7,51.3,0.45,94.34,27234.78,50851,29,15.7,5.46,43.4
Illinois,Franklin County,87.8,78.5,5.8,19.6,51.1,0.36,96.02,21680.25,39454,96.8,19.9,8.02,42.8
Illinois,Fulton County,87.5,78.4,4.9,19.2,48.3,1.89,91.96,25657.45,48599,42.8,15.5,7.32,43.2
Illinois,Gallatin County,86.2,79,5.5,22.9,51.3,0.13,95.85,24023.48,42450,17.3,16.6,7.48,45.6
Illinois,Greene County,86.1,78.3,5.3,18.5,49.5,0.64,96.72,22111.72,44502,25.6,17.9,5.75,42.5
Illinois,Grundy County,93,76.8,6.3,13.1,50.1,0.75,87.13,32196.96,71598,119.8,9.4,6.75,37.9
Illinois,Hamilton County,89.8,83.7,5.5,20.8,51.2,0.3,98.92,25952.72,47293,19.5,13.9,6.21,43.6
Illinois,Hancock County,92.5,79.9,5.4,22,50.8,0.33,96.33,25980.75,51460,24.1,11.2,6.46,46
Illinois,Hardin County,83.1,77,3.1,20.6,50.3,1.89,93.13,17677.5,39524,24.3,16.6,9.6,46.8
Illinois,Henderson County,88.9,78.4,4.9,24.2,50.7,0.07,96.29,27832.02,47428,19.3,11.3,6.04,50
Illinois,Henry County,89,77.3,5.6,19.2,50.3,0.88,90.84,28253.06,55755,61.3,12.5,6,43.1
Illinois,Iroquois County,88.7,76.2,5.3,20.5,51.1,0.58,90.34,26824.15,48857,26.6,15.5,5.42,44.4
Illinois,Jackson County,92.3,54.4,5.5,13.7,49.1,7.37,74.45,24632.46,36008,103.1,27.9,5.33,31.9
Illinois,Jasper County,90.2,82.2,5.9,18.4,50.2,0.2,97.19,25219.92,56523,19.6,12.4,6.21,43.1
Illinois,Jefferson County,85.8,75,6.3,17.8,48.6,4.27,85.8,26314.04,46109,68,18.9,6.34,40.9
Illinois,Jersey County,91.2,78.9,4.8,18,51,0.23,96.07,28285,56320,62.2,9.4,5.78,42.9
Illinois,Jo Daviess County,92,78.1,4.2,25.6,49.8,0.2,94.92,32773.54,55532,37.7,7.6,5.33,49.9
Illinois,Johnson County,83.4,79.8,4.6,19.4,44.2,5.66,84.67,24894.51,45743,36.6,13.9,8.64,43.7
Illinois,Kane County,83.1,77.6,6.6,12.1,50.2,2.81,57.55,32855.03,74862,990.8,10.4,5.49,37.3
Illinois,Kankakee County,87.4,69.4,6.1,15.5,50.9,7.6,72.17,26457.63,56542,167.7,15.1,6.29,37.7
Illinois,Kendall County,93.2,85.8,7.3,9.3,50.5,3.38,71.16,32930.29,89860,358.2,5.6,5.14,35.2
Illinois,Knox County,88,68.9,5.3,19.9,49.8,4.45,83.37,24844,41972,73.9,18.1,6.09,42.1
Illinois,Lake County,89.8,78.4,5.9,12.8,50.1,3.4,62.78,42356.58,82613,1585.6,8.5,5.18,38.4
Illinois,LaSalle County,88.5,76.3,5.5,17.7,50.1,1.25,86.09,28289.71,54693,100.4,13.6,6.7,41.9
Illinois,Lawrence County,78,72.3,5.2,16.9,44,4.36,84.58,25531.84,44504,45.2,16.4,7.35,42.4
Illinois,Lee County,88.2,74.1,5.1,18,47.5,2.62,86.74,30880.34,58319,49.7,11.8,5.08,43.2
Illinois,Livingston County,88.3,75.8,5.7,17.6,49.9,2.04,89.23,28978.15,54339,37.3,13.3,5.36,42
Illinois,Logan County,87.4,74.5,5.1,17.2,49.3,3.39,86.49,30817.98,58271,49,9.2,5.26,40.1
Illinois,McDonough County,92.8,62.4,4.1,16,49.9,2.45,88.18,23712.35,42911,55.3,22.3,6.21,33
Illinois,McHenry County,92.6,84.1,5.6,12.9,50.1,0.67,81.92,35817.03,82230,511.9,7.3,5.27,40.2
Illinois,McLean County,95.6,68.3,6.1,11.8,51.4,4.1,79.81,33624.7,64573,143.3,14.5,5.03,33.1
Illinois,Macon County,89.6,71.1,6.1,18.4,52.2,6.98,76.7,28526.92,49052,190.8,16.6,6.56,41.1
Illinois,Macoupin County,89.9,78.4,5,18.8,50.7,0.39,96.3,27384.65,53890,55.4,13.3,5.9,43.7
Illinois,Madison County,92.6,74.5,5.9,16.1,51.1,4.29,85.52,30282.72,56536,376.3,13.5,5.83,40.2
Illinois,Marion County,88.5,74.6,6.3,18.9,51.4,1.7,91.52,24319.57,44679,68.9,17.8,6.32,42.2
Illinois,Marshall County,91.8,82,5.4,22.2,50.7,0.22,94.85,28900.42,55173,32.7,10.3,6.57,46
Illinois,Mason County,87.3,80.4,4.8,21.6,50.9,0.31,96.7,25885.46,44695,27.2,13.9,7.07,45.2
Illinois,Massac County,85,80.2,5.1,20.4,52.2,3.05,88.69,23500.43,42168,65,18.4,7.01,43.5
Illinois,Menard County,91.9,82.5,5.3,18.4,51.3,0.25,95.81,33011.91,62368,40.4,11.4,4.53,43.2
Illinois,Mercer County,91.9,79.9,5,20.6,50.6,0.28,95.82,28061.28,55649,29.3,11.4,6.18,44.9
Illinois,Monroe County,95.4,81.7,5.4,16.3,50.6,0.21,96.55,37052.17,74410,85.6,5.3,4.02,42
Illinois,Montgomery County,86.1,77.8,5.1,18.9,47.7,3.01,90.87,27474.11,47807,42.8,15.6,7.02,43.3
Illinois,Morgan County,90.8,70.4,5.2,18.9,49.8,3.13,89.02,28902.26,49353,62.5,14.9,4.87,40.8
Illinois,Moultrie County,84.1,78.8,6.5,18.3,51.4,0.29,97.05,26411.84,53979,44.2,12.1,4.53,40.7
Illinois,Ogle County,88.2,75.6,5.4,17.4,50.4,0.55,87.3,29507.35,57655,70.5,11.1,5.85,42.4
Illinois,Peoria County,90.2,68.2,7,15.5,51.6,8.77,70.39,29575.31,53063,301.2,15.9,6.83,37.5
Illinois,Perry County,84.9,78.4,5,17.6,45.8,4.35,86.26,26544.1,45864,50.6,14.7,7.03,42.2
Illinois,Piatt County,95.3,81.7,5.8,18.4,50.6,0.53,92.71,33598.78,67360,38.1,5.4,4.9,42.9
Illinois,Pike County,87.8,79,5.9,19.9,50.1,0.85,95.51,23636.21,41387,19.8,14.9,5.06,42
Illinois,Pope County,87.2,78,4.3,27.9,47.3,2.53,90.46,20944,41139,12.1,12.7,6.81,52.5
Illinois,Pulaski County,82.7,74,5.2,20.7,52.2,15.26,63.64,19314.29,34655,30.9,17.1,8.4,44
Illinois,Putnam County,91.6,79.9,4.4,21.5,49.5,0.21,92.44,33033.47,64741,37.5,8.9,5.55,48.1
Illinois,Randolph County,84.5,78.7,4.9,17.5,45.1,5.31,85.01,27290.34,49717,58.2,12.3,4.96,41.6
Illinois,Richland County,87.3,78.4,6.6,19.7,51,0.22,95.57,24998.35,46454,45.1,15,5.86,42
Illinois,Rock Island County,88.6,71.5,6.4,17.9,50.9,4.98,72.61,28176.6,51426,345,14.6,6.24,40.1
Illinois,St. Clair County,90.5,67.7,6.4,14.3,51.9,14.94,62.12,28111.86,51103,410.6,17,6.01,38.6
Illinois,Saline County,86.1,72.6,6,19.2,51.2,1.72,91.59,22704.98,40722,65.6,20.6,8.46,42.2
Illinois,Sangamon County,92.2,70.5,5.9,16.1,52,6.38,80.76,33641.38,58687,227.4,15.6,4.82,40.3
Illinois,Schuyler County,88.8,78.8,4.1,20.6,47.9,2.77,93.43,26819.82,47321,17.3,21.5,5.58,46.3
Illinois,Scott County,92.3,76.3,4.9,19.3,51.1,0.06,97.18,26586.25,48542,21.3,14.9,5.58,44.6
Illinois,Shelby County,92.3,79.5,5.4,21,50.2,0.34,97.39,24844.49,49807,29.5,12.1,5.67,45.1
Illinois,Stark County,87.6,81.7,5.6,21.1,51.2,0.33,96.09,29982.91,52284,20.8,14,7.23,45.1
Illinois,Stephenson County,90.8,72.4,5.6,20.8,51.5,4.77,83.33,25919.13,46427,84.5,16.1,5.8,45.3
Illinois,Tazewell County,92.8,77.9,6,17.3,50.7,0.62,94.18,32512.86,60874,208.6,8,6.36,41
Illinois,Union County,85.7,75.8,5.8,19.5,50.1,0.49,91.39,24645.82,46716,43.1,16.8,7.34,43.7
Illinois,Vermilion County,87.2,71.3,6.6,18,50.4,6.99,78.76,23759.02,44930,90.9,19.8,7.14,40.4
Illinois,Wabash County,89.5,80.1,6.2,19.3,51.1,0.42,94.94,25100.85,49716,53.5,13.1,6.2,43.8
Illinois,Warren County,87.1,72.5,6,18.1,51.4,1.39,84.37,26450,47278,32.6,13.8,5.22,39.8
Illinois,Washington County,90.7,83.2,5.4,19,49.9,0.26,96.21,29282.7,54520,26.2,9.7,3.73,43.9
Illinois,Wayne County,87.3,75.5,6.4,20.7,50.7,0.3,96.4,25470.69,46405,23.5,15.8,8.43,43.4
Illinois,White County,87.7,79.9,5.9,21.2,51.7,0.22,96.61,26967.11,46279,29.6,13.9,6.49,44.3
Illinois,Whiteside County,88.8,75.8,5.8,19.4,50.9,0.86,84.89,28394.96,51969,85.5,11.1,5.74,43.4
Illinois,Will County,90.9,85,6,11.7,50.3,5.61,64.74,32979.93,80782,809.6,7.4,5.99,37.9
Illinois,Williamson County,90.2,73.6,5.9,17.7,50.5,2.06,90.14,26030.45,48600,157.9,15.2,6.09,41.2
Illinois,Winnebago County,87.4,70.1,6.3,16.1,51.1,6.31,70.24,27196.36,51110,575.2,15.3,6.58,39.7
Illinois,Woodford County,94,83.3,6,16.4,50.6,0.31,95.68,34573.46,69507,73.3,7.4,5.43,40.5
Indiana,Adams County,84.2,78.3,9.4,14.8,50.6,0.47,93.73,21723.83,48290,101.4,18.9,3.58,33.5
Indiana,Allen County,89.2,70.6,7.1,13.5,51.3,5.72,74.6,26675.2,51091,540.6,14.7,4.26,35.9
Indiana,Bartholomew County,90.3,72.5,6.6,15.4,50.6,0.96,83.22,29171.65,57331,188.7,12.4,3.39,37.8
Indiana,Benton County,89.7,78.7,6,17,50.5,0.44,92.83,23375.4,49183,21.8,14.9,4.23,40.5
Indiana,Blackford County,87,78.1,5.2,20.1,50.7,0.12,95.96,22522.84,40622,77.3,12.8,5.34,44
Indiana,Boone County,93.2,79.1,6.4,12.6,50.8,0.8,91.63,43259.14,75591,133.9,6.1,3.37,38.1
Indiana,Brown County,89.6,84.7,3.8,23,50.4,0.27,95.88,30788.26,59292,48.9,10.6,4.02,50
Indiana,Carroll County,87.9,79.6,5.2,18.3,49.9,0.27,94.21,26209.06,56188,54.1,10.2,4.24,42.9
Indiana,Cass County,82.9,75.6,6.1,16.8,50,0.69,80.98,23692.8,45558,94.5,13.9,4.64,40.8
Indiana,Clark County,87.9,71.2,6.4,14.5,51,3.34,83.89,25707.72,52834,295.6,9.7,4.15,39.1
Indiana,Clay County,89.7,79.1,5.8,16.8,50.8,0.2,96.41,24721.81,50924,75.2,13.9,4.67,41.5
Indiana,Clinton County,86.1,73.4,6.8,15.7,50.6,0.46,83,23768.05,51659,82,13.3,3.88,37.8
Indiana,Crawford County,82.7,83.8,5.3,18.3,49.3,0.1,96.38,18054.58,40067,35.1,17.8,5.64,43
Indiana,Daviess County,74.7,79.6,7.9,14.8,50.2,0.92,92.3,21890,48355,73.7,13,3.53,34.4
Indiana,Dearborn County,90.7,77.2,5.3,15.9,50.3,0.41,96.34,29989.31,62905,164.1,10.1,4.71,42.5
Indiana,Decatur County,89,71.9,6.4,15.8,50.5,0.33,94.91,25602.78,52270,69.1,11.4,3.55,39.2
Indiana,DeKalb County,89.8,80.1,6,15.1,50.4,0.15,95.13,25545.35,51374,116.4,12.5,3.92,39.1
Indiana,Delaware County,89.5,66.4,5,16.3,51.9,3.65,87.08,24152.34,41208,300.1,21.2,5.12,35.6
Indiana,Dubois County,87.9,79.2,6.4,16.1,50.8,0.29,91.21,28786.85,57307,98,10,3.11,40.3
Indiana,Elkhart County,80.5,72.7,7.6,13.6,50.7,2.75,75.35,23619.78,52449,426.5,13.8,3.48,35.6
Indiana,Fayette County,81.3,74,5,18.8,51,1.26,95.83,22215.57,41476,112.9,18.2,5.75,42.8
Indiana,Floyd County,89.3,73.1,5.9,14.8,51.5,2.63,88.25,29716.99,59451,504.1,10.8,4.08,39.8
Indiana,Fountain County,88,79.2,5.6,19.3,50.5,0.18,95.56,26110.64,46669,43.6,12.6,5.79,43.4
Indiana,Franklin County,87.4,78.6,5.4,16.5,50,0.11,98.36,26348.05,55588,60.1,9.9,4.34,42.2
Indiana,Fulton County,84.9,75.2,6,18.2,50.3,0.52,92.27,22780.63,47108,56.6,13.3,4.68,41.3
Indiana,Gibson County,90.2,77.7,6.1,16.4,50.5,1.02,94.24,27804.88,51149,68.7,10.7,3.62,40.3
Indiana,Grant County,86.5,70.6,5.5,18,51.9,3.77,85.34,22021.34,42046,169.2,19.1,4.92,40.3
Indiana,Greene County,85.6,78.2,5.3,18.5,50.1,0.16,96.82,23879.92,49648,61.1,12.9,6.53,43.1
Indiana,Hamilton County,95.9,80,6.9,11,51.2,1.82,84.46,44219.63,90582,696.4,5,3.2,37.1
Indiana,Hancock County,94.2,80,5.6,15.2,50.9,0.94,93.04,30984.35,70973,228.8,7,3.78,39.8
Indiana,Harrison County,88.6,84.2,5.7,16.6,50,0.12,95.66,24979.32,53897,81.2,12.9,4.19,42.3
Indiana,Hendricks County,93.5,82.4,6.1,12.7,50.2,3.13,85.78,32715.44,74245,357.4,5.1,3.49,37.7
Indiana,Henry County,87.8,76.5,5,18,49.3,1.15,93.84,23746.8,46131,126.2,16.1,4.61,42.1
Indiana,Howard County,88.5,70.5,6.1,18.2,51.9,3.65,85.79,26252.54,47958,282.4,16.5,4.66,41.7
Indiana,Huntington County,90.2,79.7,5.6,16.2,50.9,0.44,95.17,24937.08,50063,97,11.6,4.05,40.7
Indiana,Jackson County,87.1,73.6,6.7,15.5,50.2,0.54,89.3,22848.46,49080,83.2,15.6,3.65,38.5
Indiana,Jasper County,87,78.8,5.9,16.3,50.2,0.36,91.73,24802.26,56574,59.8,9,5.31,40.3
Indiana,Jay County,84.1,79,7.2,17.1,50.7,0.17,95.1,20381.89,42878,55.4,17.9,4.53,39.7
Indiana,Jefferson County,86.8,71.8,5.6,16.2,51.8,1.02,92.99,27238.89,50722,89.9,13.7,4.65,40.8
Indiana,Jennings County,84.5,73.4,5.9,15.2,49.9,0.68,95.37,22556.25,48362,75.7,13.9,4.74,39.8
Indiana,Johnson County,91.5,75.8,6.5,13.9,50.8,1.18,90.29,30659.33,65272,435.8,9.4,3.63,37.5
Indiana,Knox County,88.5,69.8,5.7,16.9,49.7,1.57,92.92,24283.05,44837,74.5,15.6,4.37,37.9
Indiana,Kosciusko County,84.8,76.8,6.5,15.3,50.3,0.4,88.6,28153.33,57190,145.6,11.2,3.74,38.5
Indiana,LaGrange County,64.3,82.9,9.3,13,49.6,0.03,94.38,22592.45,58336,97.8,9.1,3.45,31.1
Indiana,Lake County,87.6,70.9,6.2,15.2,51.7,12.16,54.48,26179.62,52559,994.1,16.8,6.32,39.1
Indiana,LaPorte County,87.5,75.4,6,16.3,48.3,5.52,79.88,27226.89,49921,186.3,16.6,5.88,40.3
Indiana,Lawrence County,88.4,78.6,5.4,18.7,50.6,0.16,95.91,24904.92,49985,102.7,11.5,5.68,43.1
Indiana,Madison County,87.5,73.5,5.8,17.3,50,3.83,85.35,24348.95,45432,291.3,17.4,5.04,40.4
Indiana,Marion County,85.6,58.8,7.4,11.7,51.8,13.71,56.69,25460.56,44869,2279.6,19.8,4.47,34.3
Indiana,Marshall County,84.5,78.3,6.2,16.5,50.5,0.35,87.96,24016.48,51869,106.1,11.5,3.74,40
Indiana,Martin County,84.4,83.8,6.4,17.8,49.5,0.27,97.19,25589.79,49372,30.8,13.3,4.08,42.7
Indiana,Miami County,85,76.6,5.4,16.6,46.7,2.54,89.29,23588.05,46666,98.7,16,4.72,40.1
Indiana,Monroe County,92.2,55.2,4.4,11.8,50.1,1.56,84.13,28283.83,45689,349.7,24.7,4.64,29.6
Indiana,Montgomery County,88.6,73.6,6.1,17.1,49.6,0.4,92.22,25851.82,53075,75.6,10.2,3.84,40.2
Indiana,Morgan County,88.4,80.1,5.7,15.4,50.4,0.2,96.32,27252.63,60317,170.5,11.8,4.25,41.5
Indiana,Newton County,85.8,81.9,5.1,17.6,49.5,0.06,91.53,24156,52193,35.5,14,5.59,43.1
Indiana,Noble County,84.7,77.4,6.5,14.4,50,0.19,87.6,25307.42,52393,115.7,9.3,4.05,38.7
Indiana,Ohio County,88.6,75.3,4.8,20.1,50.5,0.65,96.73,27646.19,58359,71.1,5,4.93,47.4
Indiana,Orange County,83.4,77.4,5.9,18.2,50.3,0.65,95.56,22548.18,42803,49.8,15,5.06,42.4
Indiana,Owen County,84.3,82.1,5.4,18,49.9,0.38,96.45,24546.91,48315,56,15.6,5.55,45.2
Indiana,Parke County,85.4,82.5,6.1,17.8,53.2,0.48,94.82,22994.9,44643,39,13.9,5.2,43.2
Indiana,Perry County,86.9,78.2,5.8,17.4,47,1.42,94.33,25136.17,49689,50.7,14.5,4.56,42
Indiana,Pike County,86.3,84.3,5.6,19.2,50,0.48,96.8,25791.67,50196,38.4,10.6,4.35,43.7
Indiana,Porter County,91.7,77.9,5.5,14.9,50.9,1.81,83.96,31843.8,65979,393,11,5.11,39.5
Indiana,Posey County,94.3,84.8,5.6,17.1,50.2,0.76,96.16,30283.6,60992,63.3,9.5,3.94,42.6
Indiana,Pulaski County,87.1,78.8,5.2,18.1,49.5,0.23,94.65,24355.46,47633,30.9,13.2,4.47,41.6
Indiana,Putnam County,88.4,77.9,4.9,15.5,47.2,1.57,91.86,27595.9,55295,79,11.6,4.5,37.9
Indiana,Randolph County,86.5,77,6.1,18.9,50.7,0.33,93.87,23894.92,44985,57.9,17,4.49,42.6
Indiana,Ripley County,86.7,78.2,5.8,16.7,50.7,0.24,95.63,25690.8,53698,64.6,10.5,4.57,40.7
Indiana,Rush County,84.6,74,5.3,17.6,50.7,0.71,96.1,24154.44,47955,42.6,18.3,3.76,41.7
Indiana,St. Joseph County,87.7,71.5,6.5,14.7,51.5,6.48,73.57,25979.22,48121,583,17.1,4.52,36.6
Indiana,Scott County,84.6,76,6,15.9,50.6,0.16,95.84,23848.29,49243,127,13.7,4.84,41.5
Indiana,Shelby County,87.7,74.3,5.7,15.8,50.4,0.48,92.63,27338.71,57216,108.1,10.6,3.99,40.8
Indiana,Spencer County,89.4,83.5,5.5,18.1,49.7,0.31,95.07,28392.03,55280,52.8,9.7,4.1,44
Indiana,Starke County,82.8,79.8,5.5,16.9,50.6,0.16,94.5,21536.78,45526,75.6,16.7,5.42,41.5
Indiana,Steuben County,88.4,79,5.4,18.2,49.5,0.12,94.02,27785,52749,110.7,10.1,3.66,43.7
Indiana,Sullivan County,86.4,77.1,5.3,16.7,45.7,1.94,92.12,23922.27,45031,48,15.6,5.87,41
Indiana,Switzerland County,82.7,81.1,6.9,17.3,49,0.41,95.67,21843.32,43468,48.1,19.7,4.87,40.5
Indiana,Tippecanoe County,90.8,55.8,6.1,10.6,49,2.38,77.01,26961.54,50486,345.7,20.9,4.05,28.2
Indiana,Tipton County,88.3,78.5,4.7,19.3,50.8,0.09,95.34,28802.95,53931,61.2,9.4,3.85,45.1
Indiana,Union County,88.3,79,5.9,18,50.6,0.06,95.85,21675.6,45531,46.6,8.2,4.04,43.5
Indiana,Vanderburgh County,89.8,65.1,6.2,15.7,51.8,4.57,84.12,27223.08,44815,769.7,18,4.11,38.3
